date,sku_id,category,units_sold,units_received,closing_stock,lead_time_days
2026-01-01,SKU-1000,Snacks,110.0,0,403.0,7
2026-01-02,SKU-1000,Snacks,278.0,0,125.0,7
2026-01-03,SKU-1000,Snacks,121.0,903,907.0,7
2026-01-04,SKU-1000,Snacks,75.0,0,832.0,7
2026-01-05,SKU-1000,Snacks,71.0,0,761.0,7
2026-01-06,SKU-1000,Snacks,103.0,0,658.0,7
2026-01-07,SKU-1000,Snacks,133.0,0,525.0,7
2026-01-08,SKU-1000,Snacks,106.0,0,419.0,7
2026-01-09,SKU-1000,Snacks,112.0,0,307.0,7
2026-01-10,SKU-1000,Snacks,142.0,761,926.0,7
2026-01-11,SKU-1000,Snacks,14.0,0,912.0,7
2026-01-12,SKU-1000,Snacks,71.0,0,841.0,7
2026-01-13,SKU-1000,Snacks,132.0,0,709.0,7
2026-01-14,SKU-1000,Snacks,119.0,896,1486.0,7
2026-01-15,SKU-1000,Snacks,143.0,0,1343.0,7
2026-01-16,SKU-1000,Snacks,137.0,0,1206.0,7
2026-01-17,SKU-1000,Snacks,78.0,0,1128.0,7
2026-01-18,SKU-1000,Snacks,122.0,0,1006.0,7
2026-01-19,SKU-1000,Snacks,71.0,0,935.0,7
2026-01-20,SKU-1000,Snacks,105.0,0,830.0,7
2026-01-21,SKU-1000,Snacks,122.0,0,708.0,7
2026-01-22,SKU-1000,Snacks,82.0,0,626.0,7
2026-01-23,SKU-1000,Snacks,112.0,0,514.0,7
2026-01-24,SKU-1000,Snacks,124.0,0,390.0,7
2026-01-25,SKU-1000,Snacks,83.0,1000,1307.0,7
2026-01-26,SKU-1000,Snacks,181.0,0,1126.0,7
2026-01-27,SKU-1000,Snacks,116.0,0,1010.0,7
2026-01-28,SKU-1000,Snacks,79.0,0,931.0,7
2026-01-29,SKU-1000,Snacks,97.0,0,834.0,7
2026-01-30,SKU-1000,Snacks,90.0,0,744.0,7
2026-01-31,SKU-1000,Snacks,122.0,0,622.0,7
2026-02-01,SKU-1000,Snacks,76.0,0,546.0,7
2026-02-02,SKU-1000,Snacks,106.0,0,440.0,7
2026-02-03,SKU-1000,Snacks,106.0,0,334.0,7
2026-02-04,SKU-1000,Snacks,108.0,0,226.0,7
2026-02-05,SKU-1000,Snacks,92.0,0,134.0,7
2026-02-06,SKU-1000,Snacks,93.0,0,41.0,7
2026-02-07,SKU-1000,Snacks,111.0,0,0.0,7
2026-02-08,SKU-1000,Snacks,89.0,0,0.0,7
2026-02-09,SKU-1000,Snacks,137.0,0,0.0,7
2026-02-10,SKU-1000,Snacks,89.0,822,733.0,7
2026-02-11,SKU-1000,Snacks,133.0,1132,1732.0,7
2026-02-12,SKU-1000,Snacks,112.0,0,1620.0,7
2026-02-13,SKU-1000,Snacks,118.0,0,1502.0,7
2026-02-14,SKU-1000,Snacks,104.0,0,,7
2026-02-15,SKU-1000,Snacks,105.0,0,1293.0,7
2026-02-16,SKU-1000,Snacks,125.0,0,1168.0,7
2026-02-17,SKU-1000,Snacks,143.0,0,1025.0,7
2026-02-18,SKU-1000,Snacks,86.0,0,939.0,7
2026-02-19,SKU-1000,Snacks,81.0,0,858.0,7
2026-02-20,SKU-1000,SNACKS,105.0,0,753.0,7
2026-02-21,SKU-1000,Snacks,92.0,0,661.0,7
2026-02-22,SKU-1000,Snacks,113.0,978,1526.0,7
2026-02-23,SKU-1000,Snacks,58.0,0,1468.0,7
2026-02-24,SKU-1000,Snacks,109.0,0,1359.0,7
2026-02-25,SKU-1000,Snacks,139.0,0,1220.0,7
2026-02-26,SKU-1000,Snacks,110.0,0,1110.0,7
2026-02-27,SKU-1000,Snacks,64.0,0,1046.0,7
2026-02-28,SKU-1000,Snacks,57.0,0,989.0,7
2026-03-01,SKU-1000,Snacks,97.0,0,892.0,7
2026-03-02,SKU-1000,SNACKS,,0,728.0,7
2026-03-03,SKU-1000,Snacks,156.0,939,1511.0,7
2026-03-04,SKU-1000,Snacks,76.0,0,1435.0,7
2026-03-05,SKU-1000,Snacks,66.0,0,1369.0,7
2026-03-06,SKU-1000,Snacks,75.0,0,1294.0,7
2026-03-07,SKU-1000,Snacks,136.0,0,1158.0,7
2026-03-08,SKU-1000,Snacks,113.0,0,1045.0,7
2026-03-09,SKU-1000,Snacks,89.0,0,956.0,7
2026-03-10,SKU-1000,Snacks,197.0,0,759.0,7
2026-03-11,SKU-1000,Snacks,120.0,0,639.0,7
2026-03-12,SKU-1000,Snacks,113.0,0,,7
2026-03-13,SKU-1000,Snacks,95.0,0,431.0,7
2026-03-14,SKU-1000,Snacks,91.0,0,340.0,7
2026-03-15,SKU-1000,Snacks,118.0,1120,1342.0,7
2026-03-16,SKU-1000,Snacks,140.0,0,1202.0,7
2026-03-17,SKU-1000,Snacks,109.0,0,1093.0,7
2026-03-18,SKU-1000,Snacks,77.0,0,1016.0,7
2026-03-19,SKU-1000,Snacks,56.0,0,960.0,7
2026-03-20,SKU-1000,Snacks,151.0,0,809.0,7
2026-03-21,SKU-1000,Snacks,85.0,0,724.0,7
2026-03-22,SKU-1000,Snacks,108.0,0,616.0,7
2026-03-23,SKU-1000,Snacks,123.0,0,493.0,7
2026-03-24,SKU-1000,Snacks,94.0,0,399.0,7
2026-03-25,SKU-1000,Snacks,107.0,0,292.0,7
2026-03-26,SKU-1000,Snacks,96.0,1114,1310.0,7
2026-03-27,SKU-1000,Snacks,134.0,0,1176.0,7
2026-03-28,SKU-1000,Snacks,182.0,0,994.0,7
2026-03-29,SKU-1000,Snacks,105.0,0,889.0,7
2026-03-30,SKU-1000,Snacks,117.0,0,772.0,7
2026-03-31,SKU-1000,Snacks,139.0,0,633.0,7
2026-04-01,SKU-1000,Snacks,128.0,0,505.0,7
2026-04-02,SKU-1000,Snacks,124.0,898,1279.0,7
2026-04-03,SKU-1000,Snacks,108.0,0,1171.0,7
2026-04-04,SKU-1000,Snacks,91.0,0,1080.0,7
2026-04-05,SKU-1000,Snacks,72.0,0,,7
2026-04-06,SKU-1000,Snacks,86.0,0,922.0,7
2026-04-07,SKU-1000,Snacks,,0,811.0,7
2026-04-08,SKU-1000,Snacks,100.0,0,711.0,7
2026-04-09,SKU-1000,Snacks,155.0,0,556.0,7
2026-04-10,SKU-1000,Snacks,119.0,1012,1449.0,7
2026-04-11,SKU-1000,Snacks,80.0,0,1369.0,7
2026-04-12,SKU-1000,Snacks,123.0,0,1246.0,7
2026-04-13,SKU-1000,Snacks,92.0,0,1154.0,7
2026-04-14,SKU-1000,Snacks,105.0,0,1049.0,7
2026-04-15,SKU-1000,Snacks,117.0,0,932.0,7
2026-04-16,SKU-1000,Snacks,118.0,0,814.0,7
2026-04-17,SKU-1000,Snacks,135.0,0,679.0,7
2026-04-18,SKU-1000,Snacks,156.0,0,523.0,7
2026-04-19,SKU-1000,Snacks,149.0,0,374.0,7
2026-04-20,SKU-1000,Snacks,119.0,0,255.0,7
2026-04-21,SKU-1000,Snacks,99.0,0,156.0,7
2026-04-22,SKU-1000,Snacks,76.0,0,80.0,7
2026-04-23,SKU-1000,Snacks,102.0,0,0.0,7
2026-04-24,SKU-1000,Snacks,117.0,0,0.0,7
2026-04-25,SKU-1000,Snacks,76.0,909,833.0,7
2026-04-26,SKU-1000,Snacks,124.0,0,709.0,7
2026-04-27,SKU-1000,Snacks,125.0,907,1491.0,7
2026-04-28,SKU-1000,Snacks,128.0,0,1363.0,7
2026-04-29,SKU-1000,Snacks,42.0,0,1321.0,7
2026-04-30,SKU-1000,Snacks,142.0,0,1179.0,7
2026-05-01,SKU-1000,Snacks,101.0,0,1078.0,7
2026-05-02,SKU-1000,Snacks,109.0,0,969.0,7
2026-05-03,SKU-1000,Snacks,80.0,0,889.0,7
2026-05-04,SKU-1000,Snacks,149.0,0,740.0,7
2026-05-05,SKU-1000,Snacks,89.0,0,651.0,7
2026-05-06,SKU-1000,Snacks,108.0,892,1435.0,7
2026-05-07,SKU-1000,Snacks,102.0,0,1333.0,7
2026-05-08,SKU-1000,Snacks,62.0,0,1271.0,7
2026-05-09,SKU-1000,Snacks,86.0,0,1185.0,7
2026-05-10,SKU-1000,Snacks,93.0,0,1092.0,7
2026-05-11,SKU-1000,Snacks,112.0,0,980.0,7
2026-05-12,SKU-1000,Snacks,142.0,0,838.0,7
2026-05-13,SKU-1000,Snacks,97.0,0,741.0,7
2026-05-14,SKU-1000,Snacks,150.0,761,1352.0,7
2026-05-15,SKU-1000,Snacks,111.0,0,1241.0,7
2026-05-16,SKU-1000,Snacks,90.0,0,1151.0,7
2026-05-17,SKU-1000,Snacks,127.0,0,1024.0,7
2026-05-18,SKU-1000,Snacks,130.0,0,894.0,7
2026-05-19,SKU-1000,Snacks,89.0,0,805.0,7
2026-05-20,SKU-1000,Snacks,96.0,0,709.0,7
2026-05-21,SKU-1000,Snacks,111.0,0,598.0,7
2026-05-22,SKU-1000,Snacks,94.0,1055,1559.0,7
2026-05-23,SKU-1000,SNACKS,88.0,0,1471.0,7
2026-05-24,SKU-1000,Snacks,168.0,0,1303.0,7
2026-05-25,SKU-1000,Snacks,115.0,0,1188.0,7
2026-05-26,SKU-1000,Snacks,136.0,0,1052.0,7
2026-05-27,SKU-1000,Snacks,122.0,0,930.0,7
2026-05-28,SKU-1000,Snacks,99.0,0,831.0,7
2026-05-29,SKU-1000,Snacks,155.0,0,676.0,7
2026-05-30,SKU-1000,SNACKS,108.0,773,1341.0,7
2026-05-31,SKU-1000,Snacks,65.0,0,1276.0,7
2026-06-01,SKU-1000,Snacks,141.0,0,1135.0,7
2026-06-02,SKU-1000,Snacks,179.0,0,956.0,7
2026-06-03,SKU-1000,Snacks,84.0,0,872.0,7
2026-06-04,SKU-1000,Snacks,139.0,0,733.0,7
2026-06-05,SKU-1000,Snacks,,0,634.0,7
2026-06-06,SKU-1000,Snacks,70.0,0,564.0,7
2026-06-07,SKU-1000,Snacks,70.0,880,1374.0,7
2026-06-08,SKU-1000,Snacks,92.0,0,1282.0,7
2026-06-09,SKU-1000,Snacks,106.0,0,1176.0,7
2026-06-10,SKU-1000,Snacks,120.0,0,1056.0,7
2026-06-11,SKU-1000,Snacks,112.0,0,944.0,7
2026-06-12,SKU-1000,Snacks,152.0,0,792.0,7
2026-06-13,SKU-1000,Snacks,109.0,0,683.0,7
2026-06-14,SKU-1000,Snacks,115.0,0,568.0,7
2026-06-15,SKU-1000,Snacks,126.0,0,442.0,7
2026-06-16,SKU-1000,Snacks,121.0,0,321.0,7
2026-06-17,SKU-1000,Snacks,78.0,0,243.0,7
2026-06-18,SKU-1000,Snacks,148.0,0,95.0,7
2026-06-19,SKU-1000,Snacks,72.0,0,23.0,7
2026-06-20,SKU-1000,Snacks,64.0,944,903.0,7
2026-06-21,SKU-1000,Snacks,74.0,0,829.0,7
2026-06-22,SKU-1000,Snacks,103.0,0,726.0,7
2026-06-23,SKU-1000,Snacks,50.0,0,676.0,7
2026-06-24,SKU-1000,Snacks,59.0,0,617.0,7
2026-06-25,SKU-1000,Snacks,136.0,0,,7
2026-06-26,SKU-1000,Snacks,60.0,0,421.0,7
2026-06-27,SKU-1000,Snacks,168.0,0,253.0,7
2026-06-28,SKU-1000,Snacks,151.0,0,102.0,7
2026-06-29,SKU-1000,Snacks,116.0,0,0.0,7
2026-01-01,SKU-1001,Beverages,,0,3108.0,5
2026-01-02,SKU-1001,Beverages,453.0,0,2655.0,5
2026-01-03,SKU-1001,Beverages,340.0,0,2315.0,5
2026-01-04,SKU-1001,Beverages,373.0,0,1942.0,5
2026-01-05,SKU-1001,Beverages,445.0,0,1497.0,5
2026-01-06,SKU-1001,Beverages,468.0,3067,4096.0,5
2026-01-07,SKU-1001,Beverages,450.0,0,3646.0,5
2026-01-08,SKU-1001,Beverages,435.0,0,3211.0,5
2026-01-09,SKU-1001,Beverages,457.0,0,2754.0,5
2026-01-10,SKU-1001,Beverages,393.0,0,2361.0,5
