timestamp,machine_id,line,temperature_c,vibration_mm_s,run_hours_since_maintenance,failure_event
2026-01-01 00:00:00,MCH-200,Line A,68.79,0.585,1,0
2026-01-01 01:00:00,MCH-200,Line A,67.79,0.627,2,0
2026-01-01 02:00:00,MCH-200,Line A,71.21,0.533,3,0
2026-01-01 03:00:00,MCH-200,Line A,68.06,0.658,4,0
2026-01-01 04:00:00,MCH-200,Line A,69.67,0.559,5,0
2026-01-01 05:00:00,MCH-200,Line A,71.09,0.638,6,0
2026-01-01 06:00:00,MCH-200,Line A,71.23,0.68,7,0
2026-01-01 07:00:00,MCH-200,Line A,70.35,0.529,8,0
2026-01-01 08:00:00,MCH-200,Line A,69.23,0.444,9,0
2026-01-01 09:00:00,MCH-200,Line A,72.32,0.543,10,0
2026-01-01 10:00:00,MCH-200,Line A,71.58,0.652,11,0
2026-01-01 11:00:00,MCH-200,Line A,70.24,0.526,12,0
2026-01-01 12:00:00,MCH-200,Line A,70.92,0.594,13,0
2026-01-01 13:00:00,MCH-200,Line A,69.84,0.671,14,0
2026-01-01 14:00:00,MCH-200,Line A,67.54,0.61,15,0
2026-01-01 15:00:00,MCH-200,Line A,69.77,0.493,16,0
2026-01-01 16:00:00,MCH-200,Line A,69.53,0.579,17,0
2026-01-01 17:00:00,MCH-200,Line A,70.26,0.564,18,0
2026-01-01 18:00:00,MCH-200,Line A,71.14,0.662,19,0
2026-01-01 19:00:00,MCH-200,Line A,68.43,0.609,20,0
2026-01-01 20:00:00,MCH-200,Line A,66.61,0.591,21,0
2026-01-01 21:00:00,MCH-200,Line A,68.79,0.692,22,0
2026-01-01 22:00:00,MCH-200,Line A,69.68,0.669,23,0
2026-01-01 23:00:00,MCH-200,Line A,68.62,0.543,24,0
2026-01-02 00:00:00,MCH-200,Line A,70.97,0.666,25,0
2026-01-02 01:00:00,MCH-200,Line A,70.7,0.584,26,0
2026-01-02 02:00:00,MCH-200,Line A,68.34,0.615,27,0
2026-01-02 03:00:00,MCH-200,Line A,69.67,0.563,28,0
2026-01-02 04:00:00,MCH-200,Line A,71.0,0.526,29,0
2026-01-02 05:00:00,MCH-200,Line A,69.58,0.504,30,0
2026-01-02 06:00:00,MCH-200,Line A,68.36,0.578,31,0
2026-01-02 07:00:00,MCH-200,Line A,71.58,0.671,32,0
2026-01-02 08:00:00,MCH-200,Line A,69.11,0.655,33,0
2026-01-02 09:00:00,MCH-200,Line A,68.76,0.475,34,0
2026-01-02 10:00:00,MCH-200,Line A,71.85,0.55,35,0
2026-01-02 11:00:00,MCH-200,Line A,68.2,0.608,36,0
2026-01-02 12:00:00,MCH-200,Line A,69.74,0.529,37,0
2026-01-02 13:00:00,MCH-200,Line A,69.39,0.602,38,0
2026-01-02 14:00:00,MCH-200,Line A,68.77,0.635,39,0
2026-01-02 15:00:00,MCH-200,Line A,67.83,0.654,40,0
2026-01-02 16:00:00,MCH-200,Line A,66.69,0.626,41,0
2026-01-02 17:00:00,MCH-200,Line A,70.77,0.644,42,0
2026-01-02 18:00:00,MCH-200,Line A,72.57,0.598,43,0
2026-01-02 19:00:00,MCH-200,Line A,68.66,0.593,44,0
2026-01-02 20:00:00,MCH-200,Line A,69.73,0.549,45,0
2026-01-02 21:00:00,MCH-200,Line A,68.92,0.595,46,0
2026-01-02 22:00:00,MCH-200,Line A,66.69,0.577,47,0
2026-01-02 23:00:00,MCH-200,Line A,70.9,0.613,48,0
2026-01-03 00:00:00,MCH-200,Line A,69.97,0.684,49,0
2026-01-03 01:00:00,MCH-200,Line A,70.08,0.597,50,0
2026-01-03 02:00:00,MCH-200,Line A,68.97,0.664,51,0
2026-01-03 03:00:00,MCH-200,Line A,67.22,0.604,52,0
2026-01-03 04:00:00,MCH-200,Line A,69.75,0.631,53,0
2026-01-03 05:00:00,MCH-200,Line A,68.03,0.607,54,0
2026-01-03 06:00:00,MCH-200,Line A,68.89,0.707,55,0
2026-01-03 07:00:00,MCH-200,Line A,72.33,0.496,56,0
2026-01-03 08:00:00,MCH-200,Line A,68.29,0.608,57,0
2026-01-03 09:00:00,MCH-200,Line A,69.81,0.555,58,0
2026-01-03 10:00:00,MCH-200,Line A,70.8,0.55,59,0
2026-01-03 11:00:00,MCH-200,Line A,71.66,0.555,60,0
2026-01-03 12:00:00,MCH-200,Line A,69.67,0.685,61,0
2026-01-03 13:00:00,MCH-200,Line A,68.71,0.53,62,0
2026-01-03 14:00:00,MCH-200,Line A,65.95,0.602,63,0
2026-01-03 15:00:00,MCH-200,Line A,69.58,0.569,64,0
2026-01-03 16:00:00,MCH-200,Line A,69.95,0.618,65,0
2026-01-03 17:00:00,MCH-200,Line A,71.48,0.581,66,0
2026-01-03 18:00:00,MCH-200,Line A,68.55,0.557,67,0
2026-01-03 19:00:00,MCH-200,Line A,70.55,0.619,68,0
2026-01-03 20:00:00,MCH-200,Line A,71.65,0.6,69,0
2026-01-03 21:00:00,MCH-200,Line A,69.9,0.609,70,0
2026-01-03 22:00:00,MCH-200,Line A,70.12,0.576,71,0
2026-01-03 23:00:00,MCH-200,Line A,68.68,0.599,72,0
2026-01-04 00:00:00,MCH-200,Line A,70.95,0.693,73,0
2026-01-04 01:00:00,MCH-200,Line A,70.4,0.603,74,0
2026-01-04 02:00:00,MCH-200,Line A,70.61,0.635,75,0
2026-01-04 03:00:00,MCH-200,Line A,69.9,0.561,76,0
2026-01-04 04:00:00,MCH-200,Line A,71.34,0.655,77,0
2026-01-04 05:00:00,MCH-200,Line A,68.56,,78,0
2026-01-04 06:00:00,MCH-200,Line A,68.03,0.48,79,0
2026-01-04 07:00:00,MCH-200,Line A,67.9,0.605,80,0
2026-01-04 08:00:00,MCH-200,Line A,68.42,0.664,81,0
2026-01-04 09:00:00,MCH-200,Line A,69.21,0.591,82,0
2026-01-04 10:00:00,MCH-200,Line A,70.39,0.61,83,0
2026-01-04 11:00:00,MCH-200,Line A,70.92,0.625,84,0
2026-01-04 12:00:00,MCH-200,Line A,68.96,0.518,85,0
2026-01-04 13:00:00,MCH-200,Line A,,0.666,86,0
2026-01-04 14:00:00,MCH-200,Line A,70.21,0.603,87,0
2026-01-04 15:00:00,MCH-200,Line A,69.83,0.643,88,0
2026-01-04 16:00:00,MCH-200,Line A,69.19,0.569,89,0
2026-01-04 17:00:00,MCH-200,Line A,68.67,0.593,90,0
2026-01-04 18:00:00,MCH-200,Line A,,0.545,91,0
2026-01-04 19:00:00,MCH-200,Line A,68.05,0.571,92,0
2026-01-04 20:00:00,MCH-200,Line A,69.36,0.644,93,0
2026-01-04 21:00:00,MCH-200,Line A,69.74,0.589,94,0
2026-01-04 22:00:00,MCH-200,Line A,68.36,0.595,95,0
2026-01-04 23:00:00,MCH-200,Line A,69.72,0.644,96,0
2026-01-05 00:00:00,MCH-200,Line A,69.99,0.641,97,0
2026-01-05 01:00:00,MCH-200,Line A,69.21,0.581,98,0
2026-01-05 02:00:00,MCH-200,Line A,70.8,0.637,99,0
2026-01-05 03:00:00,MCH-200,Line A,67.98,0.719,100,0
2026-01-05 04:00:00,MCH-200,Line A,68.12,0.538,101,0
2026-01-05 05:00:00,MCH-200,Line A,70.71,0.606,102,0
2026-01-05 06:00:00,MCH-200,Line A,68.52,0.548,103,0
2026-01-05 07:00:00,MCH-200,Line A,68.67,0.621,104,0
2026-01-05 08:00:00,MCH-200,Line A,66.06,0.635,105,0
2026-01-05 09:00:00,MCH-200,Line A,68.08,0.628,106,0
2026-01-05 10:00:00,MCH-200,Line A,71.28,0.689,107,0
2026-01-05 11:00:00,MCH-200,Line A,70.35,0.676,108,0
2026-01-05 12:00:00,MCH-200,Line A,70.14,0.645,109,0
2026-01-05 13:00:00,MCH-200,Line A,70.33,0.689,110,0
2026-01-05 14:00:00,MCH-200,Line A,69.05,0.646,111,0
2026-01-05 15:00:00,MCH-200,Line A,69.71,0.646,112,0
2026-01-05 16:00:00,MCH-200,Line A,69.52,0.692,113,0
2026-01-05 17:00:00,MCH-200,Line A,69.44,0.577,114,0
2026-01-05 18:00:00,MCH-200,Line A,67.89,0.646,115,0
2026-01-05 19:00:00,MCH-200,Line A,71.04,0.599,116,0
2026-01-05 20:00:00,MCH-200,Line A,66.73,0.631,117,0
